Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.patient-monitoring.json	11175	-	0	0	0	0	0	0	8	270	0	0	0	0	0	0	0	1	0	0	104	132	0	0	1	4	0	1
fsh-generated/resources/Observation-AbdominalPainExample.json	1223	9	0	0	1	0	0	0	0	772	0	0	0	0	0	0	0	0	0	0	17	25	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodPressureExample.json	2344	6	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	19	29	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodPressureExample2.json	2219	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	19	14	0	0	0	0	0	0
fsh-generated/resources/Observation-BodyTemperatureExample.json	1695	5	0	0	1	0	0	0	1	83	0	0	0	0	0	0	0	0	0	0	17	11	0	0	0	0	0	0
fsh-generated/resources/Observation-BodyTemperatureExample2.json	1182	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0
fsh-generated/resources/Observation-BodyWeightExample.json	1687	6	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	14	16	0	0	0	0	0	0
fsh-generated/resources/Observation-BodyWeightExample2.json	1174	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	14	0	0	0	0	0	0
fsh-generated/resources/Observation-CatheterMovedOrRemovedExample.json	1225	5	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/Observation-DiarrheaExample.json	1222	5	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	10	15	0	0	0	0	0	0
